43,18,Ⅰ-18,古渔雁民间故事,民间文学,"2006
(第一批)",新增项目,辽宁省大洼县,盘锦市大洼区文化体育旅游发展促进中心（大洼区总工会文体活动管理中心）
44,19,Ⅰ-19,喀左东蒙民间故事,民间文学,"2006
(第一批)",新增项目,辽宁省喀喇沁左翼蒙古族自治县,喀喇沁左翼蒙古族自治县公共文化和广播电视工作服务中心
45,20,Ⅰ-20,谭振山民间故事,民间文学,"2006
(第一批)",新增项目,辽宁省新民市,新民市文化馆
46,21,Ⅰ-21,河间歌诗,民间文学,"2006
(第一批)",新增项目,河北省河间市,河间市文化馆
47,22,Ⅰ-22,吴歌,民间文学,"2006
(第一批)",新增项目,江苏省苏州市,苏州市非物质文化遗产保护管理办公室（苏州市文化研究中心）
48,22,Ⅰ-22,吴歌,民间文学,"2008
(第二批)",扩展项目,江苏省无锡市,无锡市锡山区吴歌锡剧研究会
49,22,Ⅰ-22,吴歌,民间文学,"2008
(第二批)",扩展项目,上海市青浦区,上海市青浦区文化馆（上海青浦画院）
50,23,Ⅰ-23,刘三姐歌谣,民间文学,"2006
(第一批)",新增项目,广西壮族自治区宜州市,河池市宜州区刘三姐文化传承中心
51,24,Ⅰ-24,四季生产调,民间文学,"2006
(第一批)",新增项目,云南省红河哈尼族彝族自治州,红河哈尼族彝族自治州非物质文化遗产保护中心
52,25,Ⅰ-25,玛纳斯,民间文学,"2006
(第一批)",新增项目,新疆维吾尔自治区克孜勒苏柯尔克孜自治州,克孜勒苏柯尔克孜自治州非物质文化遗产保护（玛纳斯保护研究）中心
53,25,Ⅰ-25,玛纳斯,民间文学,"2006
(第一批)",新增项目,新疆维吾尔自治区文联民间文艺家协会,新疆维吾尔自治区民间文艺家协会，新疆维吾尔自治区艺术研究所（新疆维吾尔自治区非物质文化遗产保护研究中心）
54,26,Ⅰ-26,江格尔,民间文学,"2006
(第一批)",新增项目,新疆维吾尔自治区和布克塞尔蒙古自治县,和布克赛尔蒙古自治县非物质文化遗产保护中心
55,26,Ⅰ-26,江格尔,民间文学,"2006
(第一批)",新增项目,新疆维吾尔自治区博尔塔拉蒙古自治州,博尔塔拉蒙古自治州文化馆
56,26,Ⅰ-26,江格尔,民间文学,"2006
(第一批)",新增项目,新疆维吾尔自治区巴音郭楞蒙古自治州,新疆巴音郭楞蒙古自治州文化馆
57,26,Ⅰ-26,江格尔,民间文学,"2006
(第一批)",新增项目,新疆维吾尔自治区文联民间文艺家协会,新疆维吾尔自治区民间文艺家协会
58,26,Ⅰ-26,江格尔,民间文学,"2021
(第五批)",扩展项目,内蒙古自治区,内蒙古自治区非物质文化遗产保护中心
59,27,Ⅰ-27,格萨（斯）尔,民间文学,"2006
(第一批)",新增项目,内蒙古自治区,内蒙古自治区少数民族古籍与“格斯尔”征集研究室
60,27,Ⅰ-27,格萨（斯）尔,民间文学,"2006
(第一批)",新增项目,四川省,甘孜藏族自治州文化馆
61,27,Ⅰ-27,格萨（斯）尔,民间文学,"2006
(第一批)",新增项目,云南省,迪庆藏族自治州非物质文化遗产保护中心
62,27,Ⅰ-27,格萨（斯）尔,民间文学,"2006
(第一批)",新增项目,西藏自治区,西藏自治区文化厅
63,27,Ⅰ-27,格萨（斯）尔,民间文学,"2006
(第一批)",新增项目,甘肃省,西北民族大学
64,27,Ⅰ-27,格萨（斯）尔,民间文学,"2006
(第一批)",新增项目,青海省,青海省《格萨尔》史诗研究所
65,27,Ⅰ-27,格萨（斯）尔,民间文学,"2006
(第一批)",新增项目,新疆维吾尔自治区,新疆维吾尔自治区民间文艺家协会
66,27,Ⅰ-27,格萨（斯）尔,民间文学,"2006
(第一批)",新增项目,中国社会科学院《格萨（斯）尔》办公室,中国社会科学院《格萨（斯）尔》办公室
67,27,Ⅰ-27,格萨（斯）尔,民间文学,"2014
(第四批)",扩展项目,内蒙古自治区巴林右旗,巴林右旗格斯尔文化研究发展中心
68,28,Ⅰ-28,阿诗玛,民间文学,"2006
(第一批)",新增项目,云南省石林彝族自治县,石林彝族自治县文化馆
